Name,Description,Category
LodgeGuru,Hotel booking aggregrator for the people who are looking to travel on a limited budget,Tourism
Lokal,Know where your buddies(homies) at,Utilities
LokSewa Quiz,LokSewa Quiz is an app in which two or more than two person can participate to play the quiz related to lok sewa exam questions,Gaming
LOOP,An Elliptical Single Shot Pool game,Gaming
Lords,To solve the problem of entering numbers while recharging the money balance in mobile network from recharge card,Utilities
LostandFound,In this App a user can post his lost accessories and the app will circulate the post throughout its users to help the user find his lost accesories,Utilities
Lu Heer,This app helps to make friend while visiting new places and notify if old friend is nearby,Utilities
Lunch Box,To develop an app that will help to prepare the best possible food item from the ingredients provided by the user as well as provide other food recipe,Utilities
LunchedUp,LunchedUp is a meetup over lunch It helps growing your professional networking on a lunch date,Gaming
M-Cycle,App about Menstrual Cycle,Health
Maheta,This app highlights the events and cultural festivals during your trip and shows nearby attractions,Tourism
Maila Brother,"A game where player can make their own avatar, travel around Nepal, share photos(before and after earthquake) and play extreme sport games",Gaming
MALBOOST,"To know if malnourished by calculating Z-score & BMI then give diet tips,newsfeeds & recommendations accordingly ",Health
Map Me,"Map me allows you to save Google maps for any route, including source, destination & landmarks for later offline viewing of the map",Tourism
MaPaSe,Calculates Blood Alcohol amount from liquor consumed on time basis and recommending Driving or not in accordance to the legal driving limit,Health
Mapp,Our idea is to develop an app that makes smart app search and tries to give the most relevant apps for the user to choose from,Utilities
marbles,this is a nepali marble game which you can play with your friends as well as with the ai,Gaming
markett,Platform to locate nearby traders offering best discounts while on the go and also notify nearby essential services such as banks,Tourism
Maths For Nepal,The Maths For Nepal app is an app for the Nepali students to learn maths and become an expert in maths to build their career,Gaming
Ma_Pa_Se Samadhan,An app that track down the current location of yours and send it to the professional driver  to drop you home safely,Utilities
MBlood,This apps helps Blood Urgency problem from mobile,Health
Me&MyGuide,An app that creates the direct connection between a tourist and a guide,Tourism
Med Advisor,Med Advisor saves a complete list of medications to notify time to take it and gives advices while on use,Health
MedFren,MedFren will help user to recognize the drug received from drug store if it is really the prescribed one and if it is the needed one,Health
Medi APP,"Price and information(Ingredients) medicine for,address of pharmacies and hospitals(if possible even online register) near you",Health
Medi-sure,App to check whether the medicine youre about to use is really for your health problem & gives information about pricing & side-effects,Health
Medic App,Medic App lets you enter your illness symptoms or a combination of symptoms and gives you a list of probably diagnosis,Health
Medical Network,A multi-user app to create a network among patient and doctors,Health
MEDICALWEB,app to create a medical forum and enable medical staffs to upload medical history of patients or queries in that forum to seek assistance,Health
Medicart,Application to help deliver medicines to the patients in medication depending upon the prescription uploaded and regular follow up for medication,Health
MediHub,"App to search hospitals/doctors and take appointments, access your medical file and know more about health-related infrastructure",Health
Meme Generator,Create your own memes and share them with your friends,Gaming
Mero Doctor,"A product that allows user to search for medical conditions based on symptoms, provide basic home remedies and recommend doctors, hospitals, clinics",Health
Mero Health,App to find the doctors and hospital details as per the nature of the health problem of the patient,Health
Mero Hospital,"Schedule an appointment with any doctor in a hospital, entirely from within your cellphone",Health
mero junction,"An app which give all in one information ie:Transportation fares,Flight schedule, fuel,gold,money exchange,government office,rashifal and many more",Utilities
Mero Physiotherapists,App that will help users seeking phy,Health
Mero Song,An android app which helps to record your voice with track of your favourite songs,Gaming
Mero Swasthaya,Mero Swasthaya is ths complete health app with great features,Health
MeroHealth,,Health
MeroHostelcom,MeroHostelcom aims to become a mobile application that includ,Utilities
Metro Pulse,"Metro Pulse helps you to find amazing events and things to do in cities, as it also plans your entire day for you",Gaming
MindFreak,a game where use,Gaming
Mitho,"The app lets the user rate the restaurant by service, food and also shows the near best restaurants as rated using GPS",Utilities
mLocate,"This app helps you to locate your friends on map helping you to meet them instantly, also you can use it for IM and a recommendation for meeting place",Utilities
MLYD(My Locality Your Destination),It is an idea that promotes our local tourist places so that more tourist will come to visit their local places that are unknown for tourists,Tourism
Mobmark,Mobmark is for those addicts addicted to movies or books (or both) who are in continual search of recommendation as per their interest and flavour,Gaming
Money Calendar,Track your Money flow to regulate income and expences,Utilities
Money_exchange,This is two way app that makes user to exchange Nepali currency to dollars / And tourist to exchange their currency to nepali currency,Utilities
Mosquito Swatter,MOSQUITO SWATTER will be a fun casual game in which the player has to prevent the mosquito from drinking blood by swatting them before it is too late,Gaming
mt climbing,its a game where the user climbs the mountain with increasing difficulty,Gaming
Mugshots,App to know whether the person you are dealing with has crime free status,Utilities
Multai/Mero Generation,"Mero Generation is the app that keeps the records of your ansestors,comming generation records and find the relation linked between different people",Utilities
Mumma-Care,"This app collects information,disseminates data  and sends reminders to ensure safe and effective maternal and child health care",Health
My Blood,Easy registration and easy search for the blood we need in emergency,Health
My Doctor,"This app is centralizing hospital system, with give best personal heaths solution",Health
My IQ Challenge,"An annoying interactive single/multi user IQ game where challenges can be created / modified by users themselves, with tools provided by the app",Gaming
My Life Manager,App that helps tracking/managing users life with the feature of emergency contact no (expandable) in case they fall into such situation,Utilities
My Road Mate,"App helping to meet vehicle owner wanting to share vehicle and someone wanting lift, shares same road,and benefits both",Utilities
My Services,"Government Services (Offices and Officials to visit, Ways to get services, Places to visit to make additional documents) at a glance",Utilities
My Voice,"My Voice, an app for children who stutter, to provide them with fluency shaping technique by connecting with speech pathologist and fellow stutters",Utilities
my_blood,"An android app to locate nearest blood donor using global positioning system during emergency or in need and contact them though call, sms, broadcast",Health
N-Music,An Online Music Store,Gaming
Naari,An app for HER (and anybody who cares for her) that will help her through every steps of her womanhood,Health
Nagarik Aawaz(Voice of Public),"Politicians dont do what they promised,this app would provide interface between public ",Utilities
Namaste Nepal,"Apps provide Safety, Securities and Reliability to the tourist from any forgery, accident, lost and helping to boost local business ",Tourism
Naya Jeeban,Our app helps primary treatments immediately then otherwise you contact doctor and mainly focus on rural area people because this area cannot hospital,Health
nDevelopers/ Best,A simple app just to give about the places and resturants of any city,Tourism
NEO,Boring days are a thing of the past,Tourism
nEo pal,This app provides platform for tourists to search  hotels & rooms info about local foods transportation booking etc along with rating(stars),Tourism
Nepa chat,"Lets chat,share gifts,play games,get news,call friends with Nepa Chat!!",Utilities
Nepal 360,Gives a 360 panaromic view of various beautiful places in Nepal from different angles for online viewing and especially for alluring tourists,Tourism
Nepal Constitution 2072,Be your own legal advisor and solve other cases smartly referencing each article and clause of the new constitution 2072,Utilities
Nepal Drug Index,"Database, where you can feed trade names to find about the molecule, its info, and use generic name to search available products vice-versa",Health
Nepal Express,App to find the information about the nearby transportation routes and vehicles and cost for the service,Tourism
Nepal karyadisha /kanun (कानुन),From this application layman to profesnol people can easily study & discission on Nepleas legal political system & issue with user log-in,Utilities
Nepal Public Transport,It tells the user about possible public available to travel from current location to destination location along with their cost per person,Tourism
Nepal Tour Guide,,Tourism
Nepal Tour Guide,,Tourism
Nepal Tourists Hub,A social network to interact on experiences collected during Nepal visits by tourists and receiv,Tourism
Nepal VR,Providing Virtual Reality Tourism experience of Nepal using Google Cardboard,Tourism
Nepal-Helpline,One Helpline app for all nepalese citizen without data connection also,Utilities
Nepali Campers,An app targeting Internal and External tourists to provide them with all the information they need to know including Real time Language Translation,Tourism
Nepali Coders,It is a simple game where you play the role of traffic police and you have to handle the heavy traffic,Gaming
Nepali Coders/Arts & Crafts,Arts and Craft is a simple app where brief details about any handcraft product of Nepal will be listed along with the location where they can find it,Tourism
Nepali Coders/Direct Call,A simple app to make phone calls and send sms using your sim card even when you are outside the mobile network coverage,Utilities
Nepali Coders/Doctor Appointment,A simple app where users (patients) can fix their appointment with any doctor of any hospital,Health
Nepali Developers,"This application is a complete tourism application which target Tourists, Travel Angencies and Nepal Tourism Board",Tourism
Nepali Gamers,Team up and enjoy multiplayer battle field with your own country fellows Find online players form different part of your country,Utilities
Nepali Handicraft,Providing a medium to buy the original nepali product with minimum price,Tourism
Nepali Host,Find a host family to stay in Nepal,Tourism
Nepali Keys,A Nepali keyboard application with spelling correction,Utilities
NepaliAwaaz,Our App - NepaliAwaaz helps the voice of Nepalese to be heard by the Government,Utilities
NepalTour,An apps for national and international tourist to book the best hotel and transportation thoroughout their journey,Tourism
NepBalance,App that keeps track of your Mobile Balance and other information of your network,Utilities
NepEd+,"NepEd+ is an app that provides full academic information about universities, their colleges and their courses both privately and publicly ",Utilities
NepTour,"An app for tourists which can compare the prices of the nearby hotels,foods,transportation fee,locate nearby famous places and other tourism aspects",Tourism
New Planet / Thief Hunter,"An adventurous, third person 3D game where the hero steps up again the thugs and saves the valuable statues from our local temples",Gaming
Newsify,"Newsify will allow users to read local and global newspapers all in one place, subscribing to preferred portals and get headlines",Utilities
Nidarr,Nidarr is a self help app designed to provide secure and private platform to report gender based violence and access needed information instantly,Utilities
NMus,Listening and watching Nepali songs,Gaming
Nomad,"A location based game that allows players to explore, discover, travel different historically important sites of Nepal",Gaming
NostressPlz,An application for to manage stress or to get rid of their addiction or having a certain goal with the use of a task/reward based approach,Health
Notifica-Medic,"Notifica-Medic helps you keep up a healthy lifestyle through health-related alerts, suggestions, recommendations and various medical info",Health
Notify Me,"pspan style=color: rgb(55, 62, 77) font-family: helvetica, arial, sans-serif font-size: 12px line-height: 1536px white-space: pre-wrap background-color: rgb(246, 247, 248)This app notify the user from diferent form/span/pp",Utilities
Noviny,An android apps where user can read all local newspapers  of Nepal,Utilities
NTunes,Tunes of Nepal,Gaming
NTyles,All in one real time news app,Utilities
NutriVista,"Gives nutritional status,nutritional news, provides complete information and guidance on nutrition for different stages of life including food diary",Health
Nyaya,an app to,Utilities
Occasion,Occasion is an app that has notifies users of upcoming event and has templates where user can choose to create semi-custom card for such occasion,Utilities
Octavian,Our game DYT(Defend Your Territory) is a 3-Demensional game which makes use of state of the art technology in order to save the endangered animal,Gaming
Office Hub,An app that is going to mitigate all task & procedures related problems for people in government offices of Nepal,Utilities
Omni-Utility,"It is an App that provides the user with all the day to day tools, all in one place",Utilities
One,"App that collects, analyzes intensive care medical data to assist medical personnel derive vital information and detect complications sooner",Health
One Uni Nepal,"A cross university platform for Nepali students to share, work on projects and debate on sensational topics and showcase their skills",Utilities
Online doctor,Online information about hospitals and doctor aviable,Health
online payment,An app that allow user to transfer balance from one account to another without going to bank,Utilities
ONpay,Online payment gateway for Nepali consumers and businesses,Utilities
Open Loop Studios,"A hardware merged app that indicates water level status on any reservoir, provides ON/OFF control remotely from the app and helps maintain usage log",Utilities
OpenStats,An app that allows users to view the statistics on various queries and lets them perform related statistical analysis by posting queries themselves,Utilities
order vehicle,order your vehicle for your purpose,Utilities
Organo Food,Shows the list of places for tourists where they can eat organic foods,Tourism
Out Today,"Find a perfect place to eat or go out based on your location, budget, day, time and weather",Tourism
oye Bhag,An android game in which user has to save himself from getting hurted by stones falling from houses,Gaming
Paalo,App to manage waiting time in queue so that both the waiting party and serving party can benefit,Utilities
Pangraz,"Help people find a vehicle for hire based on gps location: TAXI, TRUCKS, MINI VANS, CARS, PICKUPS, TOUR BUS, ESCAVATOS, TANKERS, TRACTORS, BIKE, MTB",Utilities
PARIKAR,PARIKAR helps consumers save money and reduce food waste by suggesting recipes base,Utilities
Paryataan,Most user-friendly travel organizer for organizing the trips in the easiest and reliable way and let people able to see the beauty of our NEPAL,Tourism
PATH (a single touch),PATH a single touch app(public and the hospital) which would help to show right path to public in field of health sector through a single touch,Health
patha(पथ),"A social app for Tourists which allows to connect and communicate to tourists, people, villages, hotels nearby",Tourism
Patients Diagonis Register,This application is used to add patients diagonis detail data instead of using paper which can be more efficent and safe for data storing,Health
PattuUdyo,A game where players put their fingers at a spot and tap on it whenever a flying thing is pronounced like pattu udyo,Gaming
Payit,An app that lets you  electronically transact  money with in Nepal like Paypal does internationally,Utilities
Pedal Insight,"App where users can receive information about cycling routes  (urban and rural ), relevant shops and interact with fellow cyclists",Tourism
Peoples Voice,Providing peoples views/opinions/feedback about the current scenario of the country and also  peoples problem,Utilities
Per App Chat," The people can share the experience of using the app with each other, every person can share ideas about the app with the random people in a group",Utilities
petrol o schedule,"An application which give upto date information about fuels,gold,loadsheding,money exchange,share market in single touch",Utilities
Phoenix,"App to provide easy and flexible access to video feed from security cameras with notification of security breach, face detection and motion detection",Utilities
Phoenix,App to create live music by connectin android devices in a network where each user can select an instument and play in a group,Gaming
Phonulus,A single app that holds all phone numbers of registered organizations ie digital yellow pages,Utilities
Photo Album,This app organizes the photos that you take with your phone into albums based on the location,Utilities
Photo Bin,"Your photos, your memories, your creativity anywhere anytime",Utilities
Photography Nepal,Promote only mobile photography not dslr or slr with weekly photo challenge,Gaming
Pike,"An app that tracks your nutrition intake, and analyze your health from what you eat",Health
Pike,An app that provides information relating official (governmental) works and prepares necessary documents templates if required any,Utilities
Pike,An app to provide tourists a means to know and plan their visits efficiently,Tourism
Pike,A strategy game with a negative role of virus which has to mutate and infect a human body to kill the human,Gaming
PinPeaks,Point your camera to a mountain and get related information about it or locate,Tourism
playersnext,the theme is playing with the fancy Tarzan techniques in jungle,Gaming
PlayforPride,"A moto racing game where users connect via Facebook and make high scores to make real money, prizes and recharge cards by just playing the game",Gaming
PlayMood,Createst smart playlist from your album according to your mood,Utilities
plus545,"An app that provides information about events,weather,highway obstruction and traffic update happening in different cities of our country",Utilities
Pocket Traffic,"This application helps to get information about traffics, traffics jams and road conditions",Utilities
Policy Nepal,Allow user to campare,Utilities
Polygon,-Mind game targeting mental speed and sequence tracking where circular regions of polygon corners are touched for a number of time at a time limit,Gaming
Prasna Uttar,"App where user post their questions and other users provide answers, then the user select best answer and rate answers",Utilities
Prayash - प्रयास,Plea different facilites for patients undergoing different medical condition and help them generate campaigns and organizational interests,Health
Presentation Control,The app will control your presentation slides using bluetooth connection,Utilities
Price Tag,We will provide users with the rates fixed by the different govorganization along with the connection to concern office,Utilities
Primo,A mathematical game to play with Prime numbers,Gaming
ProDoct,"Application to solve the health problems of people by creating the combined community in the app for health staffs such as doctors, nurses and others",Health
Profile Switcher,"App that allows profile (including wifi, data) to switch automatically based on location,time etc",Utilities
Profiler on,"This App will create a lock screen and based on code inserted mobile will open in different modes hiding important informations,solving privacy issues",Utilities
Psyclotron/Call MNGR++,"If anyone had tried calling you while your phone was switched off or out of network coverage, this app notifies you right after you switch it on",Utilities
Psyclotron/Checkpoint-App,"A tourist checkpoint app which keeps update of the places they visit with total privacy, which helps to track them if in case they are lost",Tourism
Psyclotron/Lets Kite,MMO strategy game for mobile platform based on realtime kite-flying promoting kite flying culture,Gaming
Psyclotron/LocalMed,"Health app where users post, rate and review the local treatments for common health problems to reduce the dependency on synthetic medicines",Health
Public Bus Tracker,"Public Bus Tracker apps able to find out the location, upcoming scheduled and estimated arrival time of your public vehicle",Utilities
Public Telephone Book,This is the simplest way to get updated with usefull open contact that can be usefull anytime,Utilities
purpleMaze,A mobile version of the classic Ball in a Maze game in which player guides ball to centre of the maze using mobile motions,Gaming
Puzzle Time,Give user puzzle as a form of entertainment which in turn lets you know how smart you are,Gaming
Quake Simulator,Quake simulator is earthquake simulation app which provides detailed response data than laboratory test results at a lower cost for,Utilities
Quiz Nepal,"Competitive challenging  brainy game, from simple GK to tricky questions to coding challenges",Gaming
Racoon/edDabali,Student Guide for their career according to their interest,Utilities
Racoon/किंवदन्ती,"A treasure-trove of myths and history of culturally, religiously and socially venerated places, festivals and heritages for tourist guides and tourist",Tourism
RainMaker,Convenient rent search and support service,Utilities
Rakchhyak,App that will find the nearest blood donor or blood bank in case of emergency,Health
RCG IT,OCR (Optical Character Recognition)Recharge Facility,Utilities
Readers CLub,Create social network of avid book readers to recommend and exchange books among themselves,Utilities
Readers Nepal,"A place for all book lovers to share thier experience with any book, trade and sell the book they own with other book enthusiast",Utilities
Recommnd,Social recommendation app,Utilities
RecycIT,RecycIT provides ideas to users on recycling domestic wastes and ultimately promotes recyling,Utilities
Recycle Up!,"Creative ideas, methods and ways to come up to recycle and reuse our waste product & utilities & possibly monetize or economize them",Utilities
RedHelp,App to create a communication bridge between blood donor and receiver,Health
redragon,"App to record/ monitor health stats like blood sugar, pressure etc, give statistical analysis, diet suggestion and alert if its out of track",Health
religiousnepal,Provides whole guide to all religious places of nepal,Tourism
Remind Me,An app that alert notification before you cross your destination,Utilities
Remote Input Droid,"A simple android application that acts as a remote for Powerpoint presentaions, Mouse & Keyboard, VLC Remote and a simple joypad",Utilities
Rent All,"Find suitable room, flat, apartment etc for and to rent at selected location, pay rent as well",Utilities
RentMandu,A solution to find and provide a place to rent,Utilities
Rescue,An app that lets,Utilities
Rescuer,Rescuing the earthquake victims which are injured and buried under the buildings but still alive,Gaming
ResponsiveCommunity,,Utilities
Restaurant Order Bill,"App to take order, pass it to the Chef for preparing the dishes and preparing the  bill in a Restaurant",Utilities
Restro-Nepal,,Tourism
Ride,Rider will give you the bike ride service Free bike user are notified by the app if anyone around the place need the bike ride,Utilities
Rojgaar App,It lets companies to find employees and employees to find quality jobs,Utilities
Rolling Stones,Developing an app via which internal/external tourists can compare the different trekking agencies/hotels and select the best deals for them,Tourism
Room 2 Rent,Location-Based Android Application to find vacant rooms/houses all around the country from anywhere and anytime,Utilities
Rubble Dodger AR,"Rubble Dodger is a 2D side scrolling infinite runner based on AR tech where your have to dodge rubbles and obstackes, compete with frns in social site",Gaming
Run for Earn,This is fitness app that will track,Health
Run for Fun,App that motivates people to run by tracking and translating their actual runs into progress in a virtual world/Nepal,Health
Safa Ghar,maintaining the garbage system,Utilities
Safe and Secure Tourism,"It is an android app that will trace tourist and verify their safety in cases like: lost, alive or dead, kidnapped, etc",Tourism
Sahiyogi Haat,"an application to help people in need(Your loved ones, or those registered in our app) during time of emergency and also make yourself save",Utilities
Sajha Transport,Get taxi service and sajha bus arrival time information at your finger touch wherever you are,Utilities
Sajilo Nepali,An app that will convert any text to nepali text and its corresponding voice as well,Utilities
sajiloYatra,"This app provides all the information about available routes,schedules and prices for all means of transportation(airways,roadways,ropeways,rafting)",Utilities
Sangi,"Sangi acts as a health assistance for women regarding their major health issues and concerns including pregnancy, maternity, nutrition etc",Health
SastoKitab,A Complete (Application) Package For Book Lovers Around the World,Utilities
Sathi,Sathi provides advice and suggestions to users based on the reviews of products and compare two different products and features,Utilities
Save Me,save girls frim the greateat evil of socity known as #Rape Its not just national issue so Join me and Make World Proud of Us,Utilities
saving human,"Stop, Prevent and Rescue “Huma",Utilities
School2Parents,School2Parents is the mobile app solution for communication between school administration and parents,Utilities
Scroll Labs/ Scroll Nepal,"A mobile app that helps promote Tourism by providing full-fledged information on maps, routes, transports, hotels and events along with translator",Tourism
Search Engine,"App that searches the nearby hotels, lodges or any other destinations",Tourism
Seeds of Conquest,"A location-based game where players plant seeds, activate them and score points for the area covered and foreign seeds consumed",Gaming
Self Guided Tour,"Location dependent, mapping application based on a location identifier such as a beacon",Tourism
Self Info,"It is a personal information management system to organize lifes details information lik education, health,social in digital form",Utilities
Send on Time,"Have a mail, message or post to submit on time dont you worry because Send on time is here ",Utilities
Senrev Fast,send!receive file over the network by direct penetration on required device ie the device acts as multithreadedserver,Utilities
Shangrila/ CityRide,"A interactive and addictive car game, with tracks based on the city where the user/gamer lives",Gaming
Shangrila/ DIY,DIY(Do-It-Yourself) app gives simple ideas about contructing wonderful things using the materials that are found in a simple house,Utilities
SharePlay,Play the same audio in collaboration with different devices,Utilities
ShortestTrail,"Find Shortest route to all locations you want to visit on the basis of cost,time(both or any other basis of your choice)",Tourism
SHOUT SHOUT SHOUT,An app where you can throw out your depressions and frustration in the of sound and text,Health
shrestha/NepalRuns,Allows users to capture your run activities and walk duration and view the stats on Google Maps in intuitive way,Health
shrestha/NShows,Allows user to view all favourite shows schedules in one single UI broadcasting from different media channels of Nepal,Gaming
Shrestha/NTravel,Capture experience of travellers in multimedia form allowing viewer to decide their travelling destination according to others experience & rating,Tourism
Simplifiers,"I want to create a system with all records of places to visit in Nepal with their maps, attraction, transportation facility, accommodation",Tourism
Singularity / Red Shift,A fun app where people will visit landmarks (tourist destinations) of Nepal to earn points and spend them on real time freebies,Tourism
Skin Consult,"Diagnose and treat skin diseases through pictures posted in the app with few information including parient particulars, symptoms",Health
Sleep Sound,"It helps users to have a sound sleep by tracking various signals, and providing utilites and guidance towards better sleep",Health
Slide the rings down :),This is a game that lets the user to slide the coloured rings in a pole opposing the force of the water with the help of pressure of air bubble,Gaming
smart health,"Dont follow Myths, use local resources and be smart",Health
Smart Nepal,"This app will make Nepalese people aware of randomness of price of vegetables, transportation fare, daily",Utilities
Smart Nepali Home,App which calculates and informs about amount which is to be paid monthly and in installment basis so that we easily manage money on time,Utilities
Smart Purse,Online payment System for the tourist who visit Nepal and for Nepalese too,Utilities
Smart Track,All in one security and utility app which helps to find your lost smartphone and also helps you in emergency/dangerous situation,Utilities
Smart Voice,"app that  on voice command does calling, pick a call in loudspeaker,sending message and check  receivied messages from",Utilities
Smart Yatra,"App will notify users about the vacant seat available with real time location in deluxe bus/micro/taxi,route details along with reservation facilities",Utilities
SmartBaby/BathoBachcha,"Teach your growing kids fundamental things(for example ABCD,123)and many more  in a smart and interactive way through graphics, animation and much",Utilities
snAPPs,"App to provide public-vehicle routes and fares, suggest vehicle to take for trip and provide det",Tourism
SNIPCHAT,"Chatting?But lost for words?Try snipchat!send snippets of songs,dialogues,awkward moments,viral & trending posts & trolls",Gaming
SNS,"it will give all statical data of network like call time its cost,data uses for a site and its cost,download and upload speed",Utilities
Softwiks,"Make a card game, so that now on  people who owe  this app need not buy cards if they install card game app which is played manually with person",Gaming
Span Studio/ Chemistry 101,An edutainment game that familiarize with the basics of chemical reaction/composition by letting them play the game which enhances their concept,Gaming
SpeakShala,Pronounce the given English word or sentence correctly and score the points,Gaming
speed tracer,can track your vehicle real time loaction and speed(read from vehicle speedometer),Utilities
Sportify,An app that lists major upcoming sporting events and also notify the user by setting a reminder of the matches of your interest (those you select),Gaming
SSP App,"Money transfer sytem using mobile simcard and mob number as account number by tourist, and nepalese",Tourism
Stock Arcade,A stock market arcade game for simple fun,Gaming
Sur Sangeet,Sur Sangeet is an app where you can download or even upload your best nepali songs collection,Gaming
Survive Ktm City,Survive Ktm City is a unique single player mobile game application where player has to survive a motorbike ride in Kathmandu city,Gaming
surviving today,Fight 1 on 1 with players around the world or create your team and fight with other teams in this arcade online gamealso you can practice offline,Gaming
Swaasthya sewa,"App to know about diseases,first aid that locates nearest hospitals,clinics,medical stores, ambulances,reminds menstrual cycles, medicines,injections",Health
Swastha Nepal,"Health app to notify about nearby hospitals,clinic,doctor,their services and local health events",Health
Swasthya Tipot,App that keep track of all the medical report of the person along with the hospital and doctor info on every checkup,Health
TACTIKS,An app where you can find the solutions of Large technical problem specially optimized for computers and mobile phones,Utilities
Tango,Our app helps people to find out the details  fabout the futsal arena located at  ktm valley in one click at one place,Utilities
TASVIR,"TASVIR allows the user to take  picture of any monument,places  and gives the detail information, microscopic features  about them",Tourism
TaXPert,A dynamic mobile application which solves all type of tax issues of nepal  with recent tax policy,Utilities
Team Coders,An app lock application that requires you to play short quiz to unlock the app,Gaming
Team Coders,An appplication that will allow user to store their  personal medical history,Health
Team Coders,,Tourism
Team Coders,An application that helps to trigger certain action with voice commands,Utilities
Team Corona,Developing an app via which internal/external tourists can compare the different trekking agencies/hotels and select the best deals for them,Tourism
Team D!KE,MedAlert - A livesaving mobile app that alerts you to intake and/or purchase your medicine on time!,Health
Team Freecharge,App to provide free cash back coupon while recharging mobile phones along with one click button for various mobile service features,Utilities
Team NeX,To Create a DAW,Utilities
Team Peirama,"An app that basically aggregates Story(News Story, Blogs, Opinions, Articles) of different categories from news portals based on users choice",Utilities
Team visitNepal,This is an app to give all information about intresting tourist destinations in Nepal and to give all information about hotels and restaurants,Tourism
Team11,An application that allows user to build an image of a football teams formation where each player is represented by a football kit,Utilities
Tech Dictionary,Helps user find meaning of technical terms,Utilities
Tech Trilogy,Our application will help the old peoples to remember their medicine and doctor visit schedule as well as get emergency help,Health
Tech-Blood,Android app that list the blood donors and their nearer location from your current location and reach to them via Call/SMS,Health
TechGear,,Utilities
TechGeek,A simulation game which has the Custom Nepali village Environment and lets user roam around inside it,Gaming
Techno-Cloud,Provide service to general public by providing information about different hospitals/clinics with location and various first aid informations,Health
Techno-Cloud / e-kalakausal,"The App all about the creativity that globalize democratic designs(interior, fashion, jewellery) of the passionate designers",Utilities
Technocrats,A solution to each and every health needs through the help of a health forum app,Health
Technocrats, NepalGhumgham:A Tourism promoting App that lets the user go on a virtual Nepal tour,Tourism
Technocrats,e-NoteKaapi:A utility app that facilitates learners with free ebooks as well as,Utilities
Techtrilogy,"App that help tourist to book hotel room of their choice with detail information, cost and location",Tourism
TechUp Team,A learn with fun based entertaining quiz game to teach users programming and web development languages,Gaming
Tele Medic,Bridging the distance barrier between doctor & patient,Health
Temple Tour,"App to show guideline for national and international religeous tourists to visit temples and stupas in Nepal, promoting religeous tourism in Nepal",Tourism
Tenhaff,Contest is a mobile survey and data collection platform that lets user create their own survey and gather response using Android mobile devices,Utilities
Textify - Aakaar,It extracts text  from real world objects while maintaining  its structure and provides actions according to the context,Utilities
TG,Helping tourist to fulfill their,Tourism
THC,Doctor Who: Need a Physician? This app tells you OPD hours of Physicians from different hospitals in your city w/ contact info for making appointments,Health
THC,App that lets you read reviews and create a wishlist of books as well as know about people who want to sell  those books present on your wishlist,Utilities
THC,"App that lets you travel on a budget by suggesting the cheapest flights, accommodations and much more so that you can just Backpack and get going",Tourism
The Dawn,Make new friends and enjoy your days travelling with them,Tourism
The Delta Finders,An application that shows the public vehicle fare within the country and allows ticket booking for long distance travel,Utilities
The Destination Guide,"This app is for travellers who are searching for the hotels,travel agencies and money exchange counter in Nepal",Tourism
the foodsplorers,"its an app which lets you discover new places and rate the dishes on a scale of 1-5, simple as that",Tourism
The Game Mafia,"3D Physics based game where a Rhino(Main Character) chase the people in town and score for hitting people, damaging and smashing object",Gaming
The Guide,Especially targeted to those who are interested on traveling and trekking,Tourism
The Innovatives,"Tackling common as well as uncommon health issues through support, home treatment and online approach covering both ayurveda and allopathic ",Health
The Innovatives,"LegalRacer, the Racing App that allows the player to travel around after completing the built-in driving liscense trials ",Gaming
The Innovator,"A tourism app that enclose all information about place, activity, routes (ie cycling,trekking), food, culture and history around user location",Tourism
The new boss,"Fulfil your destiny of ruling the world, one continent at a time Clear tasks, levels, Challenge FB friends and defeat all the current bosses",Gaming
The Rise of Nepal,A action/platform and strategy-based game allowing palyer to play as late King Prithivi Narayan Shah through his journey for unification of Nepal,Gaming
The Sarangi Project,App specialised to learn Nepalese folk music and instrument and also deals with its sales and promotion,Utilities
The Tentacle Tales,Switch between alternate characters to escape a junk filled world but all you can do is recycle,Gaming
TheCity,TheCity provides precise and current information about your interests,Tourism
Thingsle,Todo list for your travel experience,Tourism
Thopa,"An app that links a patient with blood donors, can provide immediate help in fatal hazards and keeps you updated to diseases and health related events",Health
thorax,Apps to alert if you reached the destination while travelling on public transport,Utilities
Tour Nepal,"Tour Nepal provides all information required before, during and after your stay in any part of Nepal",Tourism
Tourism Season Nepal,App to know best time to go visit around to know about Nepalese culture,Tourism
tourist buddy,A complete guide for the tourist and helps tourism,Tourism
Tourist Eye,Platform for tourist to explore important places nearby them and place review for better development of sites,Tourism
Tourist Helper,App to help tourist when they are in trouble  cheated or misbehaved by directly connecting with police,Tourism
Tourister,Upload photos of tourist sites and let other rate it make group to visit top rated sites with contact information Be top adventure lover,Tourism
TourMates,"Conneting enuthisiastic local youths with tourists, ",Tourism
TourNepal,It helps to promote tourism from users level by users themselves in their grasp,Tourism
Trade Nepal,"Fantasy stock market game that simulates live trading stocks, options and commodities of Nepal",Gaming
Traffic-Jam,Gives information about Traffic-Jam,Utilities
Trail,"Trail is an social app which helps tourist in their journey by finding all available vendors (hotels, spa, guides) and chose suitable one",Tourism
Trail It,"An app that creates trail as you travel, share it and if you enjoyed reading somebody else’s trail then follow the trail for your next adventure",Tourism
